genes	logFC	logCPM	LR	PValue	FDR						
JMJD1C	-0.601408047	8.198058363	13.75236699	0.000208558	0.002948516						
PTPRS	-0.710834337	3.890499545	13.75126885	0.00020868	0.002948516						
SPATA24	-0.602279664	3.952277976	13.74292156	0.000209609	0.00295877						
PLXND1	1.197830634	4.364082706	13.73428848	0.000210575	0.002969514						
REEP2	1.43663408	5.222838157	13.72706039	0.000211387	0.002978072						
AMD1	0.431942746	6.269914929	13.7141034	0.00021285	0.002993925						
CYTH3	-0.56785398	4.617563051	13.71257694	0.000213023	0.002993925						
GATM	1.093447876	4.877005733	13.71037428	0.000213273	0.002993925						
ZNF496	-0.610015699	3.935476695	13.70870723	0.000213463	0.002993925						
KCNH8	-2.982886931	0.372720699	13.70800296	0.000213543	0.002993925						
CCBL2	0.625277809	4.951535038	13.67355185	0.000217496	0.003044369						
AP1M2	1.714932645	0.477126517	13.67300327	0.00021756	0.003044369						
LOC107131176	1.363228706	0.67015039	13.6708707	0.000217807	0.003044895						
LOC107133304	-1.181571637	2.62997246	13.64159306	0.00022123	0.00308977						
SDR42E1	-1.108136475	1.441123852	13.62961239	0.000222646	0.003104877						
FBXO7	0.510839964	6.021819953	13.62882797	0.000222739	0.003104877						
LOC101905675	-1.086190015	1.272800282	13.62362805	0.000223357	0.003110504						
TNS3	0.705978952	6.498598928	13.61374275	0.000224536	0.00312393						
MDH2	0.429915617	6.627844419	13.60655914	0.000225397	0.003132905						
C13H20orf202	1.148938681	0.812341647	13.60296441	0.000225829	0.003135909						
AK3	-0.59054763	6.753628631	13.59873928	0.000226337	0.003139973						
LOC789148	0.51309333	4.839553066	13.58822954	0.000227608	0.003154589						
CORO1B	0.655470847	5.64607523	13.58525334	0.000227969	0.003156582						
SFXN3	-0.659974385	3.780168343	13.57689214	0.000228987	0.003167654						
CYGB	-1.141760263	2.824592013	13.57427898	0.000229306	0.003169049						
HIC1	-0.98113525	2.947508267	13.53187262	0.000234546	0.003238383						
LOC107132979	-0.92124462	1.755997771	13.46734002	0.000242752	0.003348505						
PIK3CB	0.460169432	5.159680104	13.45458597	0.000244408	0.003368147						
LAMP2	0.556115428	7.141207318	13.44020912	0.000246288	0.003390839						
HERPUD2	-0.450534442	6.643593263	13.43662638	0.000246759	0.003394104						
LAMA4	-1.194191346	4.569183726	13.42965796	0.000247677	0.003403512						
CAPRIN2	-0.739608615	3.501762709	13.42781091	0.000247921	0.003403645						
TCAF1	-0.99291608	4.379704672	13.41963863	0.000249004	0.003415277						
GZMA	1.53779368	4.82378781	13.41178577	0.000250048	0.003424811						
XRN2	0.393971416	6.949140769	13.41087012	0.00025017	0.003424811						
FRMD6	-0.778127892	4.845534259	13.40693922	0.000250695	0.003426154						
SERP1	0.468706754	6.28860369	13.40660224	0.00025074	0.003426154						
TLR2	0.648512826	6.377198986	13.40470779	0.000250994	0.003426392						
RRBP1	0.486012876	6.639879439	13.38429964	0.000253739	0.003460624						
ZNF177	-0.458836184	5.136219394	13.37913631	0.000254439	0.003466909						
CHST7	1.057845436	2.510504134	13.37721715	0.000254699	0.003467205						
DMD	-1.323482594	1.114515754	13.37446165	0.000255074	0.003469052						
NPHP3	0.652666025	3.688820184	13.37018963	0.000255656	0.00347371						
CYB561	1.669219105	-0.162898204	13.36229166	0.000256734	0.003485109						
HAUS4	-0.480133492	4.354499956	13.35577277	0.000257628	0.003488521						
ARPIN	1.277328759	1.090961501	13.3547962	0.000257763	0.003488521						
SESN1	-0.574791005	4.767942495	13.35424784	0.000257838	0.003488521						
LOC104972869	-2.248096218	2.376481309	13.3534589	0.000257946	0.003488521						
UPB1	1.181987468	2.045762774	13.35125852	0.000258249	0.003489368						
ANKRD22	1.081554779	3.410471484	13.32194574	0.000262318	0.003540471						
CA2	1.382324516	2.884384662	13.32050905	0.000262519	0.003540471						
FAM65B	-0.507636004	9.804912789	13.31456699	0.000263352	0.003546538						
RCC2	0.378499385	7.201315049	13.31381986	0.000263457	0.003546538						
LOC100300483	1.214601024	6.268182581	13.30279312	0.000265011	0.003560036						
SEMA3B	-1.45448285	0.772082886	13.30008741	0.000265394	0.003560036						
SEPSECS	-0.776250095	5.139249257	13.2996603	0.000265454	0.003560036						
IRF8	0.523724814	6.215249573	13.29830881	0.000265646	0.003560036						
HK2	0.677741676	4.681009696	13.29802867	0.000265685	0.003560036						
TPST2	-0.436620203	6.594069495	13.29221256	0.000266511	0.003567806						
LOC100141258	0.955852698	7.604067417	13.27620996	0.000268795	0.003595076						
LOC781430	-1.504423736	1.224806367	13.26542238	0.000270347	0.003612496						
LOC100848011	-0.562213303	3.437986286	13.26107366	0.000270974	0.003615037						
KCTD19	1.467470766	0.365754643	13.26065831	0.000271034	0.003615037						
GOLPH3	0.377280363	6.611624586	13.25644612	0.000271644	0.003619845						
LOC100848492	-0.651979478	3.894239607	13.24473859	0.000273346	0.003636161						
CERS2	0.429905581	7.195277399	13.24457938	0.000273369	0.003636161						
HBA	-3.253413619	7.256643339	13.23457989	0.000274831	0.003651394						
RNF149	-0.868215321	9.053689244	13.23331329	0.000275017	0.003651394						
PARVB	1.439624094	5.93592089	13.22812126	0.00027578	0.003658179						
EEF1E1	0.489337799	4.375728945	13.22553185	0.000276161	0.003659894						
NMT1	0.352859936	6.181610651	13.21746063	0.000277353	0.003670981						
MAP2K6	-0.627319707	3.807226709	13.21616735	0.000277545	0.003670981						
ETF1	0.369478847	6.83563657	13.21473914	0.000277756	0.003670981						
LOC107132435	-1.2819388	0.585650739	13.21054449	0.000278378	0.003675861						
ZNF618	1.112360191	1.839599017	13.2043452	0.000279301	0.003684691						
HBA1	-3.251067397	7.25304677	13.20066137	0.00027985	0.00368859						
TMEM220	1.920483231	0.335437056	13.18827243	0.000281706	0.003709689						
MPC2	0.607047113	4.744239183	13.14243579	0.000288682	0.003798108						
LOC104970840	1.068702486	3.069085628	13.13266415	0.000290192	0.003814513						
LOC506088	0.870814789	5.798754365	13.12246385	0.000291776	0.003831869						
CSTB	0.59319921	5.767940163	13.11931971	0.000292266	0.003834838						
CFAP45	-1.827878343	-0.032389689	13.11348411	0.000293178	0.00384333						
PSMF1	0.52277451	5.594121861	13.10864851	0.000293936	0.003848221						
LDOC1L	-0.593942113	3.70457417	13.10772272	0.000294081	0.003848221						
VSTM1	-0.753161132	6.321888642	13.0948177	0.000296114	0.003869821						
C23H6orf132	-1.813065253	0.828495642	13.09386521	0.000296264	0.003869821						
HSD3B7	0.948832177	2.12464796	13.08828378	0.000297148	0.003875562						
JMJD6	0.401272015	5.113804591	13.08772182	0.000297238	0.003875562						
PISD	0.476895557	4.795757848	13.07712491	0.000298924	0.003893564						
DEDD2	-0.73010551	6.88334292	13.07568126	0.000299154	0.003893564						
LOC789934	-1.131814101	2.038549386	13.06856169	0.000300294	0.003904893						
PKNOX1	-0.490597677	4.28997682	13.04355653	0.00030433	0.003953835						
PCBD1	1.343118102	2.191147398	13.03516759	0.000305696	0.003968036						
LOC101907753	-1.830157397	3.525642599	13.02822627	0.000306831	0.003977725						
MRVI1	1.861964252	1.329254756	13.02725627	0.00030699	0.003977725						
FAM109B	-0.777699245	2.409392104	13.01471417	0.000309053	0.004000886						
LOC101905776	-2.222285571	2.82040957	13.00623624	0.000310455	0.004015462						
IQSEC2	0.740354708	2.901114434	13.0025402	0.000311069	0.004019816						
ACSL6	0.576271011	6.676192315	12.98533322	0.00031394	0.004051802						
LOC100337296	1.438965674	5.10495609	12.98422168	0.000314127	0.004051802						
WC-7	-1.034126513	5.604553295	12.98270919	0.000314381	0.004051802						
CCDC28A	-0.481558977	4.794224948	12.96851114	0.000316774	0.004079025						
NDST3	-0.980547566	2.624045551	12.95870255	0.000318438	0.004096819						
LOC104968527	-0.986906801	1.780020461	12.95080291	0.000319784	0.004110502						
LOC530437	3.896014048	3.874197364	12.94561383	0.000320672	0.004111289						
LOC788142	-0.947375709	3.178457254	12.94556324	0.000320681	0.004111289						
APOBEC3A	1.849386724	4.608908629	12.94414795	0.000320923	0.004111289						
LOC107131543	-1.054849723	1.491988908	12.94382939	0.000320978	0.004111289						
NPHP4	-0.714185793	3.030165208	12.93969285	0.000321688	0.004116753						
HSF4	1.176083212	3.156572269	12.93757803	0.000322051	0.004117779						
RHOH	-0.392247605	6.821424128	12.92793174	0.000323715	0.004135413						
FAM96A	0.53156827	6.019021619	12.90888288	0.000327026	0.004172557						
CHM	0.534138762	5.03104509	12.90790436	0.000327197	0.004172557						
KIAA1324L	-0.738990592	4.41833939	12.90559472	0.000327601	0.004174044						
SMC5	-0.604978594	7.569090766	12.89969189	0.000328636	0.004183559						
LOC618409	1.600008826	2.983484135	12.86101821	0.000335498	0.00426717						
ZFP36L2	-0.378542882	8.312208508	12.85284248	0.000336967	0.004282105						
MAP7D1	0.424131176	6.385039666	12.84743968	0.000337941	0.004290732						
MXD4	-0.547456945	7.376940717	12.84040746	0.000339214	0.004301735						
LOC100336396	1.112299334	1.251046523	12.83889067	0.000339489	0.004301735						
CFP	0.749636074	6.913318916	12.83774708	0.000339696	0.004301735						
LOC101906110	-1.043792911	1.306628462	12.82799325	0.000341472	0.004320451						
ARL16	0.445016945	4.585618062	12.82045335	0.000342851	0.004334121						
ATP9A	-0.932866008	3.293101601	12.81368036	0.000344094	0.004346057						
NEDD4L	0.464768975	5.205535375	12.80852583	0.000345043	0.004354261						
PTGIR	2.08229075	-0.387059299	12.80279677	0.000346102	0.004363824						
ABCA2	-0.699508282	5.468120818	12.80028293	0.000346567	0.004365902						
SCO1	0.360170309	5.745840182	12.79690154	0.000347194	0.00437001						
SP100	-0.43730658	7.587323608	12.79179085	0.000348144	0.004378171						
NFIX	1.406566444	-0.116886681	12.78576974	0.000349266	0.004388485						
PRCC	0.352742916	5.632045925	12.76034636	0.000354045	0.004444692						
ATG3	0.513955334	7.094146184	12.7509085	0.000355836	0.004463318						
BOLA-DRB3	0.697623508	10.20848536	12.74374072	0.000357203	0.004476589						
LOC104973297	-2.720407021	-0.309907266	12.74035347	0.00035785	0.004477958						
PSME1	0.570998915	7.97433041	12.73994444	0.000357928	0.004477958						
STAT1	0.870122893	9.483600492	12.71442648	0.000362846	0.004535569						
BEGAIN	-0.974241247	1.982875015	12.71193295	0.00036333	0.004537716						
LOC513767	-0.675952119	3.628531952	12.70824256	0.000364047	0.004542774						
NT5C3B	-0.492798777	5.309318287	12.69475739	0.000366682	0.004571724						
TFPI	1.298479422	0.822519371	12.68442002	0.000368715	0.004591022						
LOC101907327	-2.128712668	-0.44701543	12.68367381	0.000368862	0.004591022						
PSMB9	0.714048411	7.802156927	12.67417182	0.000370741	0.004610461						
LOC787709	-1.498855562	0.65030589	12.67056956	0.000371456	0.004615401						
ENKUR	-1.390307834	1.475372595	12.6661076	0.000372344	0.004622474						
TMEM184B	0.708114468	5.236447876	12.66183382	0.000373196	0.004629096						
RAB18	0.435363084	6.738526309	12.65502997	0.000374557	0.004642009						
SLCO5A1	1.234698143	0.47290842	12.62912152	0.000379784	0.004702777						
SAMSN1	-0.616242035	7.747830888	12.62178891	0.000381276	0.004717238						
PDE7A	-0.444337761	6.198391183	12.62008005	0.000381625	0.004717534						
LOC100848407	-0.976588001	1.947490725	12.59464303	0.000386854	0.004778107						
MCOLN2	-0.459386989	5.596826732	12.59212906	0.000387375	0.004780473						
GAB1	0.677559265	3.13804057	12.57151874	0.00039167	0.004829379						
DDX1	0.391223534	7.217716128	12.55286261	0.0003956	0.004873696						
LOC782367	1.290342179	3.419289333	12.54855632	0.000396513	0.0048808						
CRYL1	0.827190382	3.003960965	12.54317563	0.000397656	0.00489073						
SDHA	0.363194845	7.555962075	12.5381282	0.000398732	0.00489981						
LOC107131261	1.164676922	5.229296232	12.53374207	0.000399669	0.004907173						
C1S	2.252326169	-1.080682299	12.51989801	0.000402641	0.004939492						
CTNNA3	-1.078256657	3.542392866	12.5164327	0.000403388	0.004941999						
IL1RAPL2	1.724387888	0.628763584	12.51534102	0.000403624	0.004941999						
SAG	-1.099764177	2.158615886	12.5142219	0.000403866	0.004941999						
C1H21orf33	0.479879358	5.652992293	12.51224146	0.000404294	0.004943076						
LOC786372	0.846769977	7.433939084	12.50602583	0.000405642	0.004955377						
CACNA2D1	-1.31392005	1.212726994	12.50324904	0.000406245	0.004958578						
UBA7	1.052485685	6.269393961	12.49842283	0.000407296	0.00496059						
LOC101904128	-1.199021858	2.1626604	12.4977106	0.000407451	0.00496059						
LOC104971613	-1.496367103	0.88650922	12.49722738	0.000407556	0.00496059						
CYSLTR2	-0.936241801	2.246272247	12.4962218	0.000407776	0.00496059						
ABHD14B	-0.457873232	5.606328007	12.49070246	0.000408982	0.004968199						
L3HYPDH	-1.02292507	1.470215239	12.49023183	0.000409085	0.004968199						
APBB3	-0.586927238	4.220680493	12.48711118	0.000409769	0.004972348						
SYCP1	-1.163523322	1.237466179	12.48421987	0.000410404	0.004973014						
FERMT3	0.536322867	7.513486267	12.48374228	0.000410509	0.004973014						
CYP2J2	-1.261175661	3.716973307	12.48173741	0.00041095	0.004974205						
KCTD12	-0.690463262	8.996131776	12.47664793	0.000412071	0.004983623						
ADCY4	-0.688676543	3.24727386	12.46375589	0.000414925	0.005013962						
LOC101906694	1.663939185	5.365721341	12.44998176	0.000417996	0.005043274						
LOC507247	-1.104889536	4.976465353	12.44976299	0.000418045	0.005043274						
LOC789029	-1.045030308	1.878841308	12.41712578	0.000425414	0.005127921						
CARS	0.449341798	5.629788213	12.40694647	0.00042774	0.005146639						
METTL17	-0.482161763	5.052603092	12.40597037	0.000427963	0.005146639						
LOC101904449	0.740079798	3.396974971	12.40444336	0.000428313	0.005146639						
LOC100336589	1.314100429	5.009510287	12.40413319	0.000428385	0.005146639						
ABHD3	0.460944611	5.572098131	12.39139477	0.000431317	0.005177586						
KLF17	-1.650579373	-0.029703308	12.37590671	0.00043491	0.005216401						
HR	-1.022224844	1.546162047	12.37050493	0.00043617	0.005227198						
LOC506364	-0.693191635	5.236911185	12.36827476	0.000436691	0.005229131						
IFI6	1.30152116	5.314483606	12.33707516	0.00044405	0.005309371						
GOLGA7B	1.657780173	2.497642678	12.33675541	0.000444126	0.005309371						
TSPYL2	-0.42898798	5.212561644	12.33523373	0.000444488	0.005309371						
ACSL4	0.561446755	7.337957228	12.29677144	0.000453743	0.005415456						
RHOBTB1	0.809700967	3.089537276	12.28998711	0.000455395	0.005430715						
7-Mar	-0.582357543	7.533824147	12.26704219	0.000461028	0.005489449						
ABI2	-0.65439741	4.910103696	12.26685002	0.000461076	0.005489449						
PLOD3	0.400193987	4.961372569	12.25736823	0.000463425	0.00551132						
PRMT2	-0.451334161	5.660215276	12.25637306	0.000463672	0.00551132						
NYNRIN	-1.280483483	1.745408371	12.25313589	0.000464477	0.005516376						
TSPYL4	-0.435368212	5.76929479	12.2461192	0.000466227	0.005532634						
KLRG2	2.53721857	-1.443684004	12.24417358	0.000466713	0.005533885						
LOC104970537	-0.587907857	7.709480737	12.23841834	0.000468155	0.005542314						
LOC788425	0.924008097	3.059576922	12.23828987	0.000468187	0.005542314						
CXHXorf21	0.607323713	5.984125975	12.2263439	0.000471194	0.005571131						
GPATCH3	0.522714274	4.634348066	12.22557505	0.000471389	0.005571131						
ATP12A	-2.31634827	-0.844287275	12.21715449	0.000473521	0.005585934						
ABCF3	0.330001219	5.587699714	12.21530485	0.000473991	0.005585934						
DAB2IP	-1.56605746	0.03925386	12.21522403	0.000474011	0.005585934						
LOC104972992	1.171174841	0.878392619	12.2145619	0.000474179	0.005585934						
DMTF1	-0.532895318	6.526386998	12.21199383	0.000474833	0.005589095						
FAM76B	-0.413992447	5.872363933	12.20473231	0.000476684	0.005606349						
TXK	-0.536523434	6.437306263	12.19961426	0.000477994	0.005610984						
LOC100848900	0.741929795	3.020447924	12.19944017	0.000478039	0.005610984						
PROM1	-1.221421146	1.897094844	12.19866445	0.000478237	0.005610984						
RCBTB2	-0.414046815	5.634256279	12.15648668	0.000489174	0.005734671						
PFKFB2	-0.561714794	4.271571487	12.15314985	0.00049005	0.005740307						
SLC35E4	0.983856986	2.306068568	12.14837485	0.000491307	0.005750385						
LOC104971501	-0.545747459	4.92690714	12.14669952	0.000491748	0.005750919						
ADD3	-0.512632818	9.251112096	12.14251567	0.000492853	0.005759198						
ERICH6B	3.381028791	-0.803654795	12.12829378	0.000496625	0.00579862						
LOC783680	0.684918382	12.55530492	12.11614109	0.000499872	0.005831845						
LOC101902468	-0.897728374	2.24161166	12.10155834	0.000503797	0.005868943						
POU6F1	0.800288537	2.679702906	12.1013237	0.00050386	0.005868943						
HEXIM2	1.242523558	3.42048654	12.08366499	0.000508655	0.005916716						
TSTD3	-0.464418363	4.90731303	12.08322024	0.000508776	0.005916716						
PLD3	-0.639252225	4.875299587	12.07335682	0.000511475	0.005943342						
DUSP15	1.178794875	0.33212964	12.06755284	0.00051307	0.005957108						
VDAC3	0.626015819	6.931207688	12.05368832	0.0005169	0.005996784						
TTF1	0.421205606	6.24824763	12.04354829	0.000519719	0.006024681						
ERLIN2	0.361798301	6.19307326	12.01870568	0.000526693	0.006100647						
C22H3orf67	1.422457895	0.734215071	12.01008664	0.000529134	0.006124041						
RAMP3	1.80046184	1.568439541	11.98804041	0.000535431	0.006186705						
S100A11	0.622881104	7.560978093	11.98732841	0.000535635	0.006186705						
ABCB1	-0.727149373	4.343334395	11.98572426	0.000536097	0.006186705						
CPNE7	-1.069639917	3.148718252	11.98397415	0.0005366	0.006186705						
KTN1	0.450704797	6.925466051	11.98370409	0.000536678	0.006186705						
XYLT1	-0.55069734	6.145449082	11.98165784	0.000537268	0.00618859						
LOC101902310	-1.051484206	4.727026081	11.95266298	0.000545693	0.006278895						
PKM	0.458511301	9.089261675	11.95170709	0.000545973	0.006278895						
COQ5	0.507093917	3.920135427	11.94884202	0.000546814	0.006278895						
DESI1	0.408408025	4.829903567	11.94876327	0.000546837	0.006278895						
PHACTR4	0.512062937	5.062970558	11.94637139	0.000547539	0.006281995						
LOC788334	1.070151809	6.036210078	11.94031366	0.000549322	0.006297479						
DUSP22	-0.583497548	4.109881347	11.93473788	0.000550969	0.006311374						
TMEM50B	0.379897103	6.352386123	11.9313584	0.000551969	0.00631785						
ADGRA1	-1.615532037	0.397773604	11.92575222	0.000553633	0.00632949						
DGKD	-0.442827817	7.634335811	11.92499565	0.000553858	0.00632949						
LOC528802	-0.593474322	4.374119956	11.91427285	0.000557055	0.006361023						
LOC107132799	-1.055694335	2.637804573	11.90799759	0.000558935	0.006377473						
